ds,seasonal_lower
2017-01-09,0.0
2017-01-17,0.0
2017-01-25,0.0
2017-02-02,0.3618599603610458
2017-02-10,0.0
2017-02-18,2.418332178361205
2017-02-26,9.613225908287252
2017-03-06,24.12824378967989
2017-03-14,35.72969005193381
2017-03-22,58.86160810677654
2017-03-23,69.14373177052224
2017-03-24,62.627334368414594
2017-03-25,60.53726741562088
2017-03-26,59.19981469601706
2017-03-27,61.73538277150911
2017-03-28,56.131384802678916
2017-03-29,62.75530924930475
2017-03-30,71.0620002805903
2017-03-31,62.491293574160125
2017-04-01,58.29359856119987
2017-04-02,54.822338881019185
2017-04-03,55.22612368767609
2017-04-04,47.52108191054851
2017-04-05,52.10336373866797
2017-04-06,58.45584936868767
2017-04-07,48.04522207977806
2017-04-08,42.14700991302593
2017-04-09,37.13752043875531
2017-04-10,36.18555315036668
2017-04-11,27.324332358675143
2017-04-12,30.963674230095897
2017-04-13,36.596435747505595
2017-04-14,25.695408569204403
2017-04-15,19.538266000589896
2017-04-16,14.499489430727387
2017-04-17,13.742158531771185
2017-04-18,5.290045758835018
2017-04-19,9.54002443000533
2017-04-20,15.968831895275823
2017-04-21,6.030342761575245
2017-04-22,0.9809508572127259
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,4.281087053780957
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,1.5896311885721333
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,2.5878350327621424
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,2.6982474542457484
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,1.4880396499115085
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.9156820805004676
2017-06-02,0.0
2017-06-03,0.0
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
